validation_subjects,train_accuracies,validation_accuracy
['p026' 'p050' 'p002'],0.8560000061988831,0.4399999976158142
['p052' 'p039' 'p024'],0.8130000233650208,0.6850000023841858
['p049' 'p064' 'p042'],0.8970000147819519,0.7179999947547913
['p051' 'p066' 'p014'],0.8339999914169312,0.6800000071525574
['p021' 'p045' 'p056'],0.7820000052452087,0.6290000081062317
['p042' 'p050' 'p049'],0.8619999885559082,0.515999972820282
['p002' 'p049' 'p045'],0.8960000276565552,0.6299999952316284
['p061' 'p012' 'p041'],0.8119999766349792,0.625
['p026' 'p049' 'p015'],0.8479999899864197,0.6140000224113464
['p052' 'p045' 'p051'],0.8629999756813049,0.7940000295639038
['p045' 'p021' 'p016'],0.8420000076293945,0.7179999947547913
['p022' 'p064' 'p035'],0.9070000052452087,0.628000020980835
['p021' 'p061' 'p042'],0.8029999732971191,0.6650000214576721
