validation_subjects,train_accuracies,validation_accuracy
['p026' 'p050' 'p002'],0.6620000004768372,0.414000004529953
['p052' 'p039' 'p024'],0.7739999890327454,0.6919999718666077
['p049' 'p064' 'p042'],0.7229999899864197,0.7289999723434448
['p051' 'p066' 'p014'],0.8009999990463257,0.7210000157356262
['p021' 'p045' 'p056'],0.6259999871253967,0.6779999732971191
['p042' 'p050' 'p049'],0.722000002861023,0.5659999847412109
['p002' 'p049' 'p045'],0.6349999904632568,0.5720000267028809
['p061' 'p012' 'p041'],0.6779999732971191,0.5889999866485596
['p026' 'p049' 'p015'],0.8309999704360962,0.7289999723434448
['p052' 'p045' 'p051'],0.48500001430511475,0.6909999847412109
['p045' 'p021' 'p016'],0.503000020980835,0.6650000214576721
['p022' 'p064' 'p035'],0.828000009059906,0.671999990940094
['p021' 'p061' 'p042'],0.7820000052452087,0.7699999809265137
