validation_subjects,train_accuracies,validation_accuracy
['p026' 'p050' 'p002'],0.7870000004768372,0.28200000524520874
['p052' 'p039' 'p024'],0.3959999978542328,0.4269999861717224
['p049' 'p064' 'p042'],0.5960000157356262,0.31700000166893005
['p051' 'p066' 'p014'],0.6980000138282776,0.4230000078678131
['p021' 'p045' 'p056'],0.6430000066757202,0.5040000081062317
['p042' 'p050' 'p049'],0.7179999947547913,0.27799999713897705
['p002' 'p049' 'p045'],0.6940000057220459,0.48899999260902405
['p061' 'p012' 'p041'],0.33399999141693115,0.35100001096725464
['p026' 'p049' 'p015'],0.25600001215934753,0.2840000092983246
['p052' 'p045' 'p051'],0.6480000019073486,0.5849999785423279
['p045' 'p021' 'p016'],0.527999997138977,0.48500001430511475
['p022' 'p064' 'p035'],0.35100001096725464,0.23999999463558197
['p021' 'p061' 'p042'],0.621999979019165,0.39500001072883606
['p026' 'p075' 'p051'],0.4059999883174896,0.3070000112056732
['p024' 'p049' 'p052'],0.6340000033378601,0.5450000166893005
['p045' 'p075' 'p049'],0.5320000052452087,0.460999995470047
['p016' 'p039' 'p075'],0.40400001406669617,0.3370000123977661
['p052' 'p075' 'p072'],0.43799999356269836,0.31700000166893005
['p075' 'p049' 'p015'],0.5230000019073486,0.2840000092983246
['p026' 'p024' 'p012'],0.5559999942779541,0.3720000088214874
['p045' 'p021' 'p051'],0.4819999933242798,0.5479999780654907
['p081' 'p026' 'p015'],0.628000020980835,0.3580000102519989
['p056' 'p021' 'p081'],0.7120000123977661,0.39800000190734863
['p012' 'p081' 'p064'],0.5580000281333923,0.30300000309944153
['p024' 'p002' 'p050'],0.4320000112056732,0.3319999873638153
['p075' 'p072' 'p002'],0.46399998664855957,0.1720000058412552
['p024' 'p045' 'p051'],0.6980000138282776,0.625
['p049' 'p035' 'p022'],0.3720000088214874,0.3019999861717224
['p052' 'p064' 'p066'],0.656000018119812,0.39500001072883606
['p035' 'p081' 'p075'],0.44200000166893005,0.3179999887943268
